,tweet_index,comp,positive,negative,neutral,text,created_at
70,-71,-0.5423,0.119,0.263,0.617,Matilda has power and uses it for good; she chooses curiosity and independence over ignorance and cruelty https://t.co/XcdRFllu2V,Sun Oct 07 00:41:18 +0000 2018
71,-72,0.7399,0.248,0.0,0.752,Who would star in your ideal rom-com? A young Hugh Grant with James Dean’s hair? Maybe there’s some Marlon Brando i… https://t.co/zISszc3Xe2,Sun Oct 07 00:21:38 +0000 2018
72,-73,-0.5082,0.088,0.169,0.744,"In Japan more pupils commit suicide on September 1st, just before the start of the new term, than on any other day https://t.co/gXI2zqAtbl",Sun Oct 07 00:03:06 +0000 2018
73,-74,0.561,0.232,0.0,0.768,The case this terrific new biography makes for Churchill's greatness is incontestable https://t.co/faT6aTpSmM,Sat Oct 06 23:43:46 +0000 2018
74,-75,0.5267,0.531,0.0,0.469,Justice Brett Kavanaugh https://t.co/8z6J31MG7a,Sat Oct 06 23:24:33 +0000 2018
75,-76,0.7717,0.372,0.0,0.628,"Anne Frank's writing is at once lively and sombre, funny and philosophical, bleak and buoyant https://t.co/EKoEkXKCQ8",Sat Oct 06 23:05:01 +0000 2018
76,-77,0.4588,0.375,0.0,0.625,The 2018 Nobel science prizes https://t.co/CyU1sRIriR,Sat Oct 06 22:44:57 +0000 2018
77,-78,-0.7951,0.0,0.503,0.497,Parents worry more about bullying than anything else https://t.co/x9pqG0y2Yl,Sat Oct 06 22:26:30 +0000 2018
78,-79,0.0,0.0,0.0,1.0,Coping with two million Venezuelan refugees https://t.co/l9N5fXptfl,Sat Oct 06 22:08:19 +0000 2018
79,-80,-0.4215,0.0,0.203,0.797,Worries about the rise of the gig economy are mostly overblown https://t.co/y5HJLQrMdZ,Sat Oct 06 21:48:13 +0000 2018
80,-81,0.0,0.0,0.0,1.0,"Africa’s oldest president, campaigns for another term in Cameroon https://t.co/5dCPqxBS1k",Sat Oct 06 21:28:34 +0000 2018
81,-82,0.4939,0.225,0.0,0.775,Economists care about where they publish—to the cost of the profession https://t.co/uXcfgyYOsK,Sat Oct 06 21:12:13 +0000 2018
82,-83,0.5267,0.207,0.0,0.793,President Trump's impact on the American justice system could be his biggest legacy https://t.co/ZgudY94njP,Sat Oct 06 21:02:21 +0000 2018
83,-84,-0.128,0.181,0.215,0.604,"Rather than courting support, Prince Muhammad is ruling by fear https://t.co/g21vHfbHxT",Sat Oct 06 20:53:26 +0000 2018
84,-85,0.5709,0.238,0.0,0.762,"More important than any new alliance is America’s commitment to the Middle East, which is waning https://t.co/KVqvtvdxqp",Sat Oct 06 20:34:33 +0000 2018
85,-86,0.0258,0.128,0.123,0.749,General Electric lost over $100bn in market value under the 14-month tenure of John Flannery https://t.co/nPP9nNGJ8k,Sat Oct 06 20:16:46 +0000 2018
86,-87,-0.5106,0.0,0.216,0.784,Spice addiction has become an epidemic among Britain's prisoners and rough sleepers https://t.co/r4eHFEEL5X,Sat Oct 06 20:01:13 +0000 2018
87,-88,0.5719,0.171,0.0,0.829,"It is 1940 and Juliet Armstrong, educated but idealistic, is employed by a mysterious arm of the secret service https://t.co/NqxjFBr5ff",Sat Oct 06 19:44:21 +0000 2018
88,-89,0.8271,0.352,0.0,0.648,Tesla shareholders hope a chairman to oversee Elon Musk will keep him focused on the considerable job at hand https://t.co/lUP05aV0WV,Sat Oct 06 19:26:13 +0000 2018
89,-90,0.0,0.0,0.0,1.0,Emmanuel Macron wants to refashion Islam in France. America and Britain take a more pragmatic approach https://t.co/WxgTKSpye7,Sat Oct 06 19:08:13 +0000 2018
90,-91,-0.1531,0.0,0.167,0.833,Reducing cyber-bullying through legislation is often tricky https://t.co/C4bfB7s6Ef https://t.co/eHqtbGZjZL,Sat Oct 06 18:51:01 +0000 2018
91,-92,-0.5267,0.144,0.356,0.5,“Restorative” methods have further traumatised victims instead of providing a solution https://t.co/NhGOxhbFXs,Sat Oct 06 18:35:09 +0000 2018
92,-93,0.0,0.0,0.0,1.0,"There were at least two periods when Homo sapiens and Homo neanderthalensis interbred, resulting in lasting benefit… https://t.co/2fwAilwqOZ",Sat Oct 06 18:16:01 +0000 2018
93,-94,0.2144,0.085,0.0,0.915,"The party is not only afraid of genuine Marxists, but also of Peking University’s long history at the forefront of… https://t.co/bikKByXsPw",Sat Oct 06 18:00:29 +0000 2018
94,-95,0.0,0.0,0.0,1.0,Western relations with China have long whiffed of hypocrisy https://t.co/gIp3ww3O06,Sat Oct 06 17:45:07 +0000 2018
95,-96,-0.7964,0.0,0.31,0.69,China fears North Korea falling into the American orbit; America would hate South Korea to fall into the Chinese one https://t.co/PDYx1JmbXM,Sat Oct 06 17:29:01 +0000 2018
96,-97,0.0772,0.202,0.192,0.606,Films about comedians have struggled to get the balance right between private pain and the joy they bring to the pu… https://t.co/gIaspqpUzE,Sat Oct 06 17:22:20 +0000 2018
97,-98,0.0,0.0,0.0,1.0,"Electronic voting has made Brazil’s elections more reliable, not less https://t.co/u3GMA8m2j5",Sat Oct 06 17:05:04 +0000 2018
98,-99,0.4404,0.139,0.0,0.861,The case is a good example of how grisly and conceptually slippery the analysis of death-penalty cases can be https://t.co/7IPs3omisj,Sat Oct 06 16:48:52 +0000 2018
99,-100,0.0,0.0,0.0,1.0,Anglophones and Francophones still approach Islam differently https://t.co/E3ihXetDxi,Sat Oct 06 16:32:03 +0000 2018
100,-101,0.4019,0.13,0.0,0.87,Britons reassured by the banks’ stability since the Brexit referendum may have returned their cash to the vaults https://t.co/N4r76k4NGQ,Sat Oct 06 16:13:16 +0000 2018
101,-102,0.2023,0.145,0.102,0.753,"Ted Cruz has enlisted the help of Donald Trump for his campaign, highlighting his vulnerability  https://t.co/qtr2TbOaIZ",Sat Oct 06 15:56:51 +0000 2018
102,-103,0.4927,0.197,0.0,0.803,Employees don't need to work long hours for a business to be highly profitable https://t.co/yrUeUucQR3,Sat Oct 06 15:40:19 +0000 2018
103,-104,0.0,0.0,0.0,1.0,".@FukuyamaFrancis on identity politics, liberal democracy and the plight of minorities #OpenFuture https://t.co/EQVIBpSgHG",Sat Oct 06 15:25:03 +0000 2018
104,-105,0.5574,0.194,0.0,0.806,Our interactive traces how the politics of America's Supreme Court justices has shifted over time https://t.co/lSAyjxACBS,Sat Oct 06 15:08:10 +0000 2018
105,-106,0.3612,0.152,0.0,0.848,"Polls put Democrats narrowly ahead in Republican-held states like Florida, Nevada, Iowa and Wisconsin  https://t.co/Uv7MB24zPM",Sat Oct 06 14:53:05 +0000 2018
106,-107,-0.0516,0.149,0.161,0.69,Waste generation needs to be decoupled from economic growth and rising living standards https://t.co/bAsglepA7n,Sat Oct 06 14:37:32 +0000 2018
107,-108,0.3612,0.161,0.0,0.839,Northern Ireland's Renewable Heat Incentive scheme may have cost £500m of public money https://t.co/UcKMEen6jg,Sat Oct 06 14:22:20 +0000 2018
108,-109,0.4215,0.141,0.0,0.859,"Next month Colorado, Missouri, Utah and Michigan all have the opportunity to wrest control of district-drawing away… https://t.co/b1YKNL7YRp",Sat Oct 06 14:05:14 +0000 2018
109,-110,0.0,0.0,0.0,1.0,Nothing and everything has changed in Catalonia https://t.co/B5762fiP8l,Sat Oct 06 13:49:36 +0000 2018
110,-111,-0.3612,0.0,0.111,0.889,Channel 4's move northward may be undermined by bosses' caution. The initial move would include less than half of t… https://t.co/PLtf5aluOd,Sat Oct 06 13:32:42 +0000 2018
111,-112,0.2263,0.169,0.127,0.704,In rich countries the absence of professional waste-pickers presents a problem. The general public isn't very good… https://t.co/BW5hpUAr0b,Sat Oct 06 13:16:39 +0000 2018
112,-113,0.0,0.0,0.0,1.0,"Ocado, a British online-grocery company, is using air-traffic-control systems and AI technology to co-ordinate 700… https://t.co/Q1MSZ0rwdV",Sat Oct 06 13:01:09 +0000 2018
113,-114,-0.5574,0.0,0.153,0.847,The ocean is dark and full of terrors. Listen to “Babbage” for the extraordinary story of the ocean's blackest fish… https://t.co/gXAML4KUHo,Sat Oct 06 12:59:32 +0000 2018
114,-115,0.0,0.0,0.0,1.0,Germany’s potato harvest is 25% smaller than usual this year https://t.co/WHyjZIdl8E,Sat Oct 06 12:44:11 +0000 2018
115,-116,0.024,0.203,0.199,0.597,"For Alan Abel it wasn’t hard to create a little havoc and, at times, administer a kick in the intellect https://t.co/wFwKwszPuU",Sat Oct 06 12:28:15 +0000 2018
116,-117,0.5267,0.18,0.0,0.82,"Under USMCA rules, cars will have to have 75% of their value created within North America to cross its borders duty… https://t.co/KxMnvFl4uS",Sat Oct 06 12:11:49 +0000 2018
117,-118,0.0,0.0,0.0,1.0,Vocal fry is found among all sorts of speakers. It just tends to be noticed more often among young women https://t.co/YNSTgr1Y9r,Sat Oct 06 11:54:30 +0000 2018
118,-119,-0.802,0.0,0.265,0.735,"Europe faces a potato crisis. A long, hot summer has meant the chips are down, and the poor harvest could be the th… https://t.co/NRyHidsZTN",Sat Oct 06 11:39:10 +0000 2018
119,-120,-0.3612,0.172,0.323,0.505,Should Europe fear China's growing influence? https://t.co/qhEwGEQDM7,Sat Oct 06 11:24:25 +0000 2018
120,-121,-0.0258,0.097,0.101,0.802,The USMCA eases the uncertainty cast by Donald Trump over North American trade. But he should never have raised dou… https://t.co/5LDHi9Cpj9,Sat Oct 06 11:23:04 +0000 2018
121,-122,-0.3612,0.0,0.128,0.872,Gita Gopinath has argued that floating currencies provide less of a cushion than the IMF has traditionally thought https://t.co/S7UUvTevhD,Sat Oct 06 11:04:48 +0000 2018
122,-123,-0.6597,0.0,0.286,0.714,"Hoax papers are being used to expose the problems with academic publishing. ""Gender, Place &amp; Culture"", an academic… https://t.co/JFIXnIlVlf",Sat Oct 06 10:44:55 +0000 2018
123,-124,-0.0516,0.106,0.115,0.78,"Paul Biya is likely to be re-elected on October 7th, given the vote is sure to be rigged  https://t.co/jvKPFZQ2yx",Sat Oct 06 10:25:17 +0000 2018
124,-125,0.1786,0.096,0.0,0.904,"The existence of exomoons has not been denied, but the theory may have finally been confirmed https://t.co/7okAA91RJT",Sat Oct 06 10:05:33 +0000 2018
125,-126,0.5106,0.148,0.0,0.852,The three laureates for the Nobel prize for chemistry harnessed the power of evolution to make proteins more useful… https://t.co/3jDecrtaWZ,Sat Oct 06 09:45:49 +0000 2018
126,-127,-0.6249,0.0,0.157,0.843,"With America in the throes of an opioid crisis, “Beautiful Boy” is resonant. But often it is too aware of its appos… https://t.co/FttNLd1kx0",Sat Oct 06 09:28:26 +0000 2018
